Bemessungsniederschlag mit MaxMod- und ÖKOSTRA- Niederschlag [mm]
Gitterpunkt: 5107 (M34, R: -66385m, H: 5220984m)
T: Jährlichkeit
DAUER        DAUERMIN       TYP      1T      2T      3T      5T     10T     20T     25T     30T     50T     75T    100T
 2 Tage      2880     Bemessung    68.8    86.4    97.5   111.7   131.1   150.4   154.8   160.1   171.0   179.6   185.5
 2 Tage      2880       ÖKOSTRA    63.1    74.6    81.0    89.5   101.3   112.9   115.6   119.1   126.7   132.6   136.9

 3 Tage      4320       MaxModN    82.3   105.8   122.3   143.1   171.3   199.5   208.6   216.0   234.0   246.2   256.1
 3 Tage      4320     Bemessung    76.2    94.1   106.0   121.0   141.5   162.0   168.4   174.1   187.2   196.7   204.0
 3 Tage      4320       ÖKOSTRA    70.0    82.4    89.6    98.9   111.7   124.4   128.2   132.2   140.3   147.2   151.8

 4 Tage      5760       MaxModN    89.3   111.2   128.2   149.6   178.7   207.6   217.0   224.6   246.1   263.1   271.9
 4 Tage      5760     Bemessung    82.7   100.1   112.5   128.1   149.3   170.8   177.5   183.4   198.9   211.5   218.4
 4 Tage      5760       ÖKOSTRA    76.1    89.0    96.7   106.6   119.9   133.9   138.0   142.2   151.6   159.8   164.9

 5 Tage      7200       MaxModN    94.8   115.3   132.7   154.6   184.3   214.0   223.6   231.4   253.3   270.7   283.0
 5 Tage      7200     Bemessung    87.9   104.9   117.8   133.9   156.0   177.9   185.1   190.7   207.3   220.2   229.0
 5 Tage      7200       ÖKOSTRA    81.0    94.5   102.8   113.2   127.6   141.8   146.5   149.9   161.2   169.6   175.0

 6 Tage      8640       MaxModN   100.1   118.7   136.4   158.7   189.0   219.2   228.9   236.8   259.2   276.9   289.4
 6 Tage      8640     Bemessung    92.9   109.2   122.4   139.1   161.4   184.0   191.5   197.2   213.9   227.3   236.9
 6 Tage      8640       ÖKOSTRA    85.6    99.6   108.4   119.5   133.8   148.7   154.0   157.5   168.6   177.6   184.4
